Unnamed: 0,val_acc,test_acc,epoch,train_loss,prune_type
0,0.1114,0.1201,1,4.058316136768886,ERK
1,0.1582,0.1867,2,3.526392616544451,ERK
2,0.2006,0.2144,3,3.23401666368757,ERK
3,0.2424,0.2644,4,2.9961589554377963,ERK
4,0.2742,0.2944,5,2.7832484463283,ERK
5,0.2858,0.3241,6,2.628813427516392,ERK
6,0.3062,0.3306,7,2.510535192489624,ERK
7,0.3248,0.3531,8,2.390712270736694,ERK
8,0.3232,0.3499,9,2.310149185998099,ERK
9,0.359,0.3857,10,2.230181347983224,ERK
10,0.3576,0.38,11,2.17662828036717,ERK
11,0.365,0.4054,12,2.105034662655421,ERK
12,0.3828,0.4205,13,2.056332131113325,ERK
13,0.399,0.4337,14,2.013722999436515,ERK
14,0.3922,0.4249,15,1.954608063697815,ERK
15,0.405,0.4121,16,1.924495209966387,ERK
16,0.41,0.4334,17,1.8700556802749635,ERK
17,0.4076,0.4351,18,1.84677540234157,ERK
18,0.4022,0.4361,19,1.8191528259004863,ERK
19,0.435,0.4565,20,1.7816976853779385,ERK
20,0.4112,0.4275,21,1.7576674924577986,ERK
21,0.4182,0.4504,22,1.7230516290664672,ERK
22,0.4152,0.4471,23,1.70166070665632,ERK
23,0.4262,0.4637,24,1.6736577715192522,ERK
24,0.4238,0.4438,25,1.6579006433486938,ERK
25,0.4222,0.4411,26,1.623922676358904,ERK
26,0.4256,0.4617,27,1.6103450788770404,ERK
27,0.4492,0.4657,28,1.5910762902668545,ERK
28,0.4358,0.4642,29,1.5738672740118844,ERK
29,0.458,0.4848,30,1.5493952764783587,ERK
30,0.4408,0.4639,31,1.540290925162179,ERK
31,0.4352,0.4707,32,1.529170826503209,ERK
32,0.435,0.471,33,1.515456734384809,ERK
33,0.4524,0.4807,34,1.4988963283811296,ERK
34,0.4394,0.482,35,1.4841907562528338,ERK
35,0.4392,0.4593,36,1.467004076412746,ERK
36,0.4556,0.4895,37,1.452399926185608,ERK
37,0.4338,0.4679,38,1.4503403193610056,ERK
38,0.467,0.4927,39,1.4296103947503227,ERK
39,0.457,0.4782,40,1.4122558750425067,ERK
