Unnamed: 0,val_acc,test_acc,epoch,train_loss,prune_type
0,0.4854,0.4921,1,1.7051079620633809,ERK
1,0.5912,0.5918,2,1.2058625510760717,ERK
2,0.6856,0.6872,3,0.9598601514952524,ERK
3,0.735,0.7373,4,0.8156709694862365,ERK
4,0.7712,0.7787,5,0.7036955615452357,ERK
5,0.6632,0.6726,6,0.63927808540208,ERK
6,0.6654,0.6737,7,0.5961262658664158,ERK
7,0.7116,0.7102,8,0.5564792600699834,ERK
8,0.7592,0.7726,9,0.5338007809434618,ERK
9,0.7844,0.797,10,0.5033677252701351,ERK
10,0.8042,0.8101,11,0.4853307509422302,ERK
11,0.7518,0.7482,12,0.4611328533717564,ERK
12,0.7682,0.7753,13,0.4439413583278656,ERK
13,0.793,0.8009,14,0.4368608932835715,ERK
14,0.769,0.7731,15,0.425656738110951,ERK
15,0.8008,0.8132,16,0.4148053705692291,ERK
16,0.775,0.7908,17,0.405037807226181,ERK
17,0.7938,0.8089,18,0.3961376047134399,ERK
18,0.8166,0.8228,19,0.3961829139505113,ERK
19,0.8,0.8076,20,0.3882984566688537,ERK
20,0.7696,0.7937,21,0.381084035890443,ERK
21,0.754,0.7724,22,0.3698107997008732,ERK
22,0.8064,0.8168,23,0.3690615375552858,ERK
23,0.7716,0.7756,24,0.3544722437007087,ERK
24,0.8056,0.8124,25,0.370475463952337,ERK
25,0.826,0.8357,26,0.3589994965280805,ERK
26,0.8326,0.8281,27,0.3398267843042101,ERK
27,0.7872,0.7959,28,0.3422480777331761,ERK
28,0.7934,0.7989,29,0.3533812873704093,ERK
29,0.819,0.8152,30,0.3338395209823336,ERK
30,0.7288,0.7376,31,0.3483323169606072,ERK
31,0.7924,0.8071,32,0.3320671612024307,ERK
32,0.8188,0.822,33,0.3379674857854843,ERK
33,0.8238,0.82,34,0.3342238512209483,ERK
34,0.8328,0.8361,35,0.3179518036331449,ERK
35,0.8594,0.8643,36,0.32002813237054,ERK
36,0.8014,0.8169,37,0.3205086765970502,ERK
37,0.8116,0.8215,38,0.3222700076443808,ERK
38,0.8448,0.8573,39,0.3186760983296803,ERK
39,0.8182,0.8274,40,0.3131910454375403,ERK
40,0.8262,0.8321,41,0.316622011406081,ERK
41,0.78,0.7744,42,0.3128464954239981,ERK
42,0.8236,0.8348,43,0.3160403077091489,ERK
43,0.8048,0.8025,44,0.3101750791072845,ERK
44,0.835,0.8428,45,0.3083924873386111,ERK
45,0.8122,0.8275,46,0.3190201091766357,ERK
46,0.84,0.8384,47,0.3107129217045647,ERK
47,0.787,0.7924,48,0.2926066400323595,ERK
48,0.826,0.8269,49,0.2982856600625174,ERK
49,0.8474,0.8477,50,0.3050286953789847,ERK
50,0.8168,0.8249,51,0.2982551061255591,ERK
51,0.843,0.8518,52,0.3074368183101926,ERK
52,0.791,0.7948,53,0.3001668341670717,ERK
53,0.8162,0.8192,54,0.2945420493398394,ERK
54,0.8084,0.812,55,0.3008070199830192,ERK
55,0.8564,0.8576,56,0.2906318752254758,ERK
56,0.8638,0.8726,57,0.3003645508629935,ERK
57,0.8164,0.8273,58,0.2966726131950106,ERK
58,0.84,0.8419,59,0.2966147919212069,ERK
59,0.824,0.8255,60,0.2957680360760008,ERK
60,0.8368,0.8492,61,0.2934776525838034,ERK
61,0.823,0.8302,62,0.2948893618583679,ERK
62,0.8418,0.8429,63,0.2907406888689313,ERK
63,0.8364,0.8376,64,0.2819197198322841,ERK
64,0.8412,0.8405,65,0.2844170830930982,ERK
65,0.812,0.8112,66,0.2893966203927994,ERK
66,0.8368,0.848,67,0.2895853596925735,ERK
67,0.8402,0.8469,68,0.2884073399645941,ERK
68,0.8282,0.8304,69,0.29392223911626,ERK
69,0.8456,0.856,70,0.2814104209627424,ERK
70,0.813,0.8107,71,0.2854693785735539,ERK
71,0.8208,0.8402,72,0.2966033663919993,ERK
72,0.8446,0.8477,73,0.2752290146691458,ERK
73,0.8356,0.844,74,0.2810034190756934,ERK
74,0.7942,0.8033,75,0.2830787725959505,ERK
75,0.8566,0.8597,76,0.2823531741755349,ERK
